fold,auc,f1,precision,recall
1,,0.0,0.0,0.0
2,,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,,0.0,0.0,0.0
5,,0.0,0.0,0.0
6,,0.0,0.0,0.0
7,,0.0,0.0,0.0
8,,0.0,0.0,0.0
9,,0.0,0.0,0.0
10,,1.0,1.0,1.0
11,,0.7547169811320755,1.0,0.6060606060606061
12,,1.0,1.0,1.0
13,,0.8363636363636363,1.0,0.71875
14,,0.9830508474576272,1.0,0.9666666666666667
15,,0.0,0.0,0.0
16,,0.0,0.0,0.0
17,,0.0,0.0,0.0
18,,0.0,0.0,0.0
19,,1.0,1.0,1.0
20,,0.0,0.0,0.0
21,,1.0,1.0,1.0
22,,0.0,0.0,0.0
23,,0.9714285714285714,1.0,0.9444444444444444
24,,0.9411764705882353,1.0,0.8888888888888888
25,,0.0,0.0,0.0
26,,0.9285714285714286,1.0,0.8666666666666667
27,,0.8461538461538461,1.0,0.7333333333333333
28,,0.75,1.0,0.6
29,,1.0,1.0,1.0
30,,0.9230769230769231,1.0,0.8571428571428571
31,,1.0,1.0,1.0
32,,1.0,1.0,1.0
33,,1.0,1.0,1.0
34,,1.0,1.0,1.0
35,,0.0,0.0,0.0
36,,1.0,1.0,1.0
37,,0.9565217391304348,1.0,0.9166666666666666
38,,1.0,1.0,1.0
39,,1.0,1.0,1.0
40,,0.8421052631578947,1.0,0.7272727272727273
41,,0.42857142857142855,1.0,0.2727272727272727
42,,0.0,0.0,0.0
43,,1.0,1.0,1.0
44,,1.0,1.0,1.0
45,,1.0,1.0,1.0
46,,0.36363636363636365,1.0,0.2222222222222222
47,,1.0,1.0,1.0
48,,0.2,1.0,0.1111111111111111
49,,0.0,0.0,0.0
50,,0.0,0.0,0.0
