split,patient_auc,n_test_patients
1,0.6518518518518518,32
2,0.6074074074074074,32
3,0.6759259259259258,31
4,0.5256410256410257,32
5,0.4285714285714286,32
6,0.7481481481481482,32
7,0.8222222222222222,32
8,0.8333333333333334,32
9,0.06451612903225806,32
10,0.5384615384615384,32
11,0.5076923076923077,31
12,0.7085714285714286,32
13,0.6057142857142856,32
14,0.6799999999999999,31
15,0.5625,32
16,0.5833333333333334,32
17,0.42708333333333337,32
18,0.5072463768115942,32
19,0.6153846153846154,32
20,0.5535714285714286,32
21,0.7395833333333333,32
22,0.7121212121212122,31
23,0.6592592592592592,32
24,0.5,32
25,0.6518518518518519,32
26,0.8141025641025641,32
27,0.7,32
28,0.6436781609195402,32
29,0.8514285714285714,32
30,0.7011494252873564,32
31,0.5178571428571429,32
32,0.6474358974358975,32
33,0.7142857142857143,32
34,0.6962962962962963,32
35,0.6696428571428572,32
36,0.576923076923077,32
37,0.8303571428571428,32
38,0.46296296296296297,31
39,0.6822916666666666,32
40,0.7866666666666667,31
41,0.6666666666666666,32
42,0.7037037037037037,32
43,0.6018518518518519,31
44,0.6160714285714286,32
45,0.7371794871794872,32
46,0.5076923076923077,31
47,0.46153846153846156,31
48,0.4743589743589744,32
49,0.8444444444444444,32
50,0.8296296296296296,32
51,0.6904761904761905,31
52,0.39080459770114945,32
53,0.47395833333333337,32
54,0.5238095238095237,31
55,0.8703703703703703,31
56,0.5333333333333333,31
57,0.8214285714285715,32
58,0.5828571428571429,32
59,0.8,32
60,0.4888888888888888,32
61,0.6799999999999999,32
62,0.76,31
63,0.4907407407407407,31
64,0.6724137931034483,31
65,0.6333333333333333,32
66,0.7851851851851852,32
67,0.6228571428571429,32
68,0.532051282051282,32
69,0.5357142857142857,32
70,0.8214285714285714,32
71,0.6846153846153846,31
72,0.5,32
73,0.7767857142857143,32
74,0.5066666666666666,31
75,0.5085714285714286,32
76,0.42,31
77,0.5,32
78,0.7126436781609196,32
79,0.5851851851851851,32
80,0.5307692307692308,31
81,0.5512820512820513,32
82,0.6333333333333333,31
83,0.5333333333333333,32
84,0.6114285714285714,32
85,0.9540229885057472,32
86,0.391025641025641,32
87,0.41666666666666663,32
88,0.7053571428571428,32
89,0.5,32
90,0.7232142857142857,32
91,0.611111111111111,31
92,0.8148148148148148,32
93,0.4482758620689655,32
94,0.7409090909090909,32
95,0.47407407407407404,32
96,0.5497835497835497,32
97,0.536231884057971,32
98,0.5028571428571429,32
99,0.7756410256410257,32
100,0.8148148148148149,32
101,0.8064516129032258,32
102,0.5942028985507246,32
103,0.3782051282051282,32
104,0.6888888888888888,32
105,0.4166666666666667,32
106,0.7628205128205129,32
107,0.5747126436781609,32
108,0.5833333333333334,32
109,0.8457142857142858,32
110,0.5862068965517242,32
111,0.7185185185185186,32
112,0.632183908045977,32
113,0.8,32
114,0.632183908045977,32
115,0.52,31
116,0.4914285714285714,32
117,0.6517857142857143,32
118,0.6,32
119,0.5771428571428572,32
120,0.7474747474747475,31
121,0.7629629629629628,32
122,0.5166666666666667,32
123,0.5402298850574713,32
124,0.75,31
125,0.5703703703703703,32
126,0.3925925925925926,32
127,0.5625,32
128,0.6845238095238096,31
129,0.6866666666666666,31
130,0.6076923076923076,31
131,0.5064102564102565,32
132,0.6333333333333333,31
133,0.8769230769230769,31
134,0.7816091954022988,32
135,0.8154761904761905,31
136,0.6692307692307692,31
137,0.6517857142857142,32
138,0.6346153846153846,32
139,0.7028571428571428,32
140,0.717948717948718,32
141,0.8076923076923077,32
142,0.45,32
143,0.6071428571428571,32
144,0.7380952380952381,31
145,0.5923076923076923,31
146,0.47023809523809523,31
147,0.5407407407407407,32
148,0.6602564102564102,32
149,0.6666666666666666,32
150,0.7065217391304348,31
151,0.8333333333333333,31
152,0.36923076923076925,31
153,0.6296296296296295,31
154,0.5416666666666667,32
155,0.6428571428571429,32
156,0.5172413793103449,32
157,0.6346153846153846,32
158,0.7435897435897436,32
159,0.7259259259259259,32
160,0.7037037037037037,32
161,0.782051282051282,32
162,0.8214285714285714,31
163,0.7714285714285715,32
164,0.574712643678161,32
165,0.711111111111111,32
166,0.7166666666666667,32
167,0.735632183908046,32
168,0.5833333333333334,32
169,0.4600000000000001,31
170,0.5307692307692308,31
171,0.43333333333333335,31
172,0.7051282051282052,32
173,0.6518518518518519,32
174,0.5714285714285714,32
175,0.532051282051282,32
176,0.62,31
177,0.5333333333333333,31
178,0.5641025641025641,32
179,0.7179487179487181,32
180,0.4482758620689655,32
181,0.632183908045977,32
182,0.6607142857142857,31
183,0.6333333333333333,31
184,0.6481481481481481,31
185,0.7851851851851852,32
186,0.43678160919540227,32
187,0.5185185185185185,32
188,0.6,32
189,0.4375,32
190,0.43333333333333335,32
191,0.5982142857142857,32
192,0.46794871794871795,32
193,0.8,32
194,0.5037037037037037,32
195,0.75,31
196,0.6066666666666667,31
197,0.4553571428571429,32
198,0.5481481481481482,32
199,0.7942857142857143,32
200,0.6296296296296297,32
